,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.3700819672131148,0.3703278722821119,0.0,0.02,0.23,0.7175,1.0,1.0,100.06644610945214
dewpt (°C),366.0,18.99071038251366,5.950864658090084,4.1,13.925,18.65,25.0,27.4,23.299999999999997,31.33566116394226
dhi (W/m²),366.0,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0,16.0,11.452336580442541
dni (W/m²),366.0,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0,110.0,9.84231571678445
ghi (W/m²),366.0,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0,162.0,19.53962490815319
max_dhi (W/m²),366.0,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0,15.0,3.880857765011841
max_dni (W/m²),366.0,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0,54.0,1.6826302784983056
max_ghi (W/m²),366.0,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0,334.0,12.810362508062218
max_temp (°C),366.0,33.00218579234973,4.39292028540011,24.8,29.6,33.0,35.9,43.3,18.499999999999996,13.310997983710635
max_uv (Index),366.0,7.145901639344261,2.7140269087707205,2.3,5.2,6.8,9.149999999999999,12.1,9.8,37.98018844574764
max_wind_dir (°),366.0,194.99726775956285,86.70805996992026,20.0,132.5,219.0,260.75,344.0,324.0,44.46629481846574
max_wind_spd (m/s),366.0,3.6480874316939897,1.0775335372236008,2.0,2.8,3.6,4.4,8.8,6.800000000000001,29.536943875362333
min_temp (°C),366.0,23.123224043715847,5.648719722961213,11.5,18.1,25.4,27.4,31.9,20.4,24.428772182814857
precip (mm),366.0,3.0333333333333328,9.84403766884152,0.0,0.0,0.0,0.7250000000000001,91.3,91.3,324.5287143574128
precip_gpm (mm/hr),366.0,3.0333333333333328,9.84403766884152,0.0,0.0,0.0,0.7250000000000001,91.3,91.3,324.5287143574128
pres (hPa),366.0,1005.4426229508197,5.678677996348406,994.0,1001.0,1006.0,1010.0,1015.0,21.0,0.5647938397202974
rh (%),366.0,0.6283879781420765,0.15667739219473237,0.27,0.52,0.61,0.77,0.95,0.6799999999999999,24.933225593839754
slp (hPa),366.0,1008.2978142076503,5.750172898262032,996.0,1004.0,1009.0,1013.0,1018.0,22.0,0.570285169444772
solar_rad (W/m²),366.0,233.9398907103825,86.5881873305678,34.0,195.0,236.5,301.75,364.0,330.0,37.01300666065709
temp (°C),366.0,27.588797814207652,4.803886574641684,18.3,23.5,28.7,30.7,36.9,18.599999999999998,17.412453442127816
wind_dir (°),366.0,194.99726775956285,86.70805996992026,20.0,132.5,219.0,260.75,344.0,324.0,44.46629481846574
wind_gust_spd (m/s),366.0,7.355191256830601,2.0981826034197333,3.6,6.0,6.8,8.4,18.0,14.4,28.526553969228175
wind_spd (m/s),366.0,2.5737704918032787,0.8476691599414963,1.1,2.0,2.4,3.0,7.0,5.9,32.93491640537024
query_lat (°),366.0,22.7212505077608,0.0,22.7212505077608,22.7212505077608,22.7212505077608,22.7212505077608,22.7212505077608,0.0,0.0
query_lon (°),366.0,72.448905310359,0.0,72.448905310359,72.448905310359,72.448905310359,72.448905310359,72.448905310359,0.0,0.0
