State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,12-07-2024,"? 2,000","? 5,000","? 4,000",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,15-07-2024,"? 3,500","? 6,000","? 4,850",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,19-07-2024,"? 2,000","? 5,500","? 4,850",310
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,29-07-2024,"? 3,000","? 6,000","? 4,400",310
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,03-07-2024,"? 4,000","? 8,000","? 6,250",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,04-07-2024,"? 4,000","? 8,000","? 6,750",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,23-07-2024,"? 5,000","? 9,000","? 7,500",168
Gujarat,Ahmedabad,Ahmedabad,Mango (Raw-Ripe),Other,FAQ,16-07-2024,"? 1,500","? 2,500","? 2,000",172
Gujarat,Ahmedabad,Ahmedabad,Mango (Raw-Ripe),Other,FAQ,18-07-2024,"? 1,500","? 2,500","? 2,000",172
Gujarat,Ahmedabad,Ahmedabad,Mango (Raw-Ripe),Other,FAQ,19-07-2024,"? 1,500","? 3,000","? 2,750",172
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,31-07-2024,"? 6,500","? 7,000","? 6,750",297
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,01-07-2024,"? 4,000","? 7,000","? 6,000",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,08-07-2024,"? 4,000","? 6,500","? 5,650",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,09-07-2024,"? 2,500","? 6,000","? 5,250",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,12-07-2024,"? 2,500","? 6,000","? 4,850",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,22-07-2024,"? 2,000","? 4,000","? 3,750",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,23-07-2024,"? 2,000","? 4,500","? 3,850",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,29-07-2024,"? 2,000","? 5,000","? 4,600",164
Gujarat,Ahmedabad,Ahmedabad,Bhindi(Ladies Finger),Other,FAQ,05-07-2024,"? 3,000","? 7,000","? 5,750",85
Gujarat,Ahmedabad,Ahmedabad,French Beans (Frasbean),Other,FAQ,08-07-2024,"? 10,000","? 15,000","? 14,500",298
Gujarat,Ahmedabad,Ahmedabad,French Beans (Frasbean),Other,FAQ,15-07-2024,"? 7,000","? 11,000","? 9,750",298
Gujarat,Ahmedabad,Ahmedabad,French Beans (Frasbean),Other,FAQ,25-07-2024,"? 5,000","? 9,000","? 7,500",298
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,13-07-2024,"? 7,000","? 8,000","? 7,650",296
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,25-07-2024,"? 6,000","? 7,000","? 6,400",296
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,01-07-2024,"? 2,800","? 6,000","? 4,250",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,11-07-2024,"? 2,000","? 3,500","? 2,850",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,12-07-2024,"? 2,000","? 3,000","? 2,350",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,23-07-2024,"? 1,500","? 3,500","? 3,100",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,25-07-2024,"? 2,500","? 4,500","? 4,000",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,29-07-2024,"? 2,500","? 4,000","? 3,500",303
Gujarat,Ahmedabad,Ahmedabad,Pointed gourd (Parval),Other,FAQ,30-07-2024,"? 2,500","? 4,500","? 4,200",303
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,12-07-2024,"? 4,500","? 5,000","? 4,750",300
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,02-07-2024,"? 1,000","? 1,500","? 1,350",84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,10-07-2024,"? 1,000","? 1,500","? 1,300",84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,12-07-2024,"? 1,000","? 1,500","? 1,250",84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,19-07-2024,"? 1,000","? 1,300","? 1,250",84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,23-07-2024,? 500,? 800,? 650,84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,24-07-2024,? 500,"? 1,000",? 650,84
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,26-07-2024,? 500,? 800,? 650,84
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,03-07-2024,"? 2,500","? 6,500","? 3,100",81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,05-07-2024,"? 3,000","? 6,500","? 3,100",81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,06-07-2024,"? 2,500","? 7,000","? 2,950",81
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,05-07-2024,"? 1,000","? 4,000","? 2,850",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,06-07-2024,"? 1,000","? 4,000","? 2,350",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,12-07-2024,"? 1,200","? 5,000","? 2,850",82
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,02-07-2024,"? 3,500","? 6,500","? 5,100",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,04-07-2024,"? 3,000","? 7,000","? 5,750",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,05-07-2024,"? 3,000","? 7,000","? 5,500",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,06-07-2024,"? 3,000","? 7,000","? 5,250",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,11-07-2024,"? 3,000","? 6,000","? 5,150",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,23-07-2024,"? 4,500","? 8,000","? 6,650",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,26-07-2024,"? 2,500","? 4,000","? 3,700",78
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,27-07-2024,"? 2,500","? 4,200","? 3,650",78
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,16-07-2024,"? 1,500","? 3,500","? 2,750",81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,23-07-2024,"? 1,000","? 3,500","? 1,650",81
Gujarat,Ahmedabad,Ahmedabad,Bhindi(Ladies Finger),Other,FAQ,01-07-2024,"? 2,000","? 5,500","? 4,500",85
Gujarat,Ahmedabad,Ahmedabad,Bhindi(Ladies Finger),Other,FAQ,04-07-2024,"? 2,500","? 7,000","? 5,750",85
Gujarat,Ahmedabad,Ahmedabad,Bhindi(Ladies Finger),Other,FAQ,20-07-2024,"? 1,500","? 4,000","? 2,750",85
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,08-07-2024,"? 3,000","? 7,000","? 6,250",355
Gujarat,Ahmedabad,Ahmedabad,Colacasia,Other,FAQ,05-07-2024,"? 3,500","? 4,000","? 3,750",318
Gujarat,Ahmedabad,Ahmedabad,Colacasia,Other,FAQ,20-07-2024,"? 3,500","? 4,000","? 3,850",318
Gujarat,Ahmedabad,Ahmedabad,Colacasia,Other,FAQ,24-07-2024,"? 3,800","? 4,200","? 4,150",318
Gujarat,Ahmedabad,Ahmedabad,Colacasia,Other,FAQ,27-07-2024,"? 3,800","? 4,500","? 4,100",318
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,01-07-2024,"? 1,000","? 1,400","? 1,300",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,02-07-2024,"? 1,000","? 1,400","? 1,300",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,04-07-2024,"? 1,000","? 1,300","? 1,250",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,09-07-2024,"? 1,000","? 1,300","? 1,200",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,12-07-2024,? 800,"? 1,300","? 1,200",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,19-07-2024,"? 1,000","? 1,300","? 1,250",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,23-07-2024,"? 1,200","? 1,400","? 1,350",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,25-07-2024,"? 1,400","? 1,500","? 1,450",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,31-07-2024,"? 1,000","? 1,600","? 1,500",313
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,25-07-2024,"? 6,000","? 8,000","? 6,500",312
Gujarat,Ahmedabad,Ahmedabad,Groundnut pods (raw),Other,FAQ,26-07-2024,"? 5,500","? 8,000","? 7,250",312
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,06-07-2024,"? 3,000","? 5,000","? 4,500",358
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,13-07-2024,"? 2,500","? 5,500","? 4,500",358
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,18-07-2024,"? 2,000","? 7,000","? 4,750",358
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,20-07-2024,"? 1,500","? 5,000","? 4,500",358
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,31-07-2024,"? 2,000","? 5,000","? 4,000",358
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,01-07-2024,? 500,"? 2,500","? 1,350",349
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,02-07-2024,"? 1,000","? 3,500","? 2,350",349
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,03-07-2024,"? 1,000","? 6,000","? 2,950",349
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,31-07-2024,"? 2,000","? 5,500","? 4,500",349
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,05-07-2024,"? 4,000","? 11,000","? 7,750",75
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,10-07-2024,"? 4,500","? 10,000","? 7,500",75
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,16-07-2024,"? 4,500","? 10,000","? 6,750",75
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,22-07-2024,"? 4,000","? 9,000","? 7,250",75
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,25-07-2024,"? 4,000","? 8,000","? 6,250",75
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,02-08-2024,"? 1,200","? 1,500","? 1,450",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,03-08-2024,"? 1,000","? 1,500","? 1,450",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,08-08-2024,"? 1,000","? 1,500","? 1,250",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,10-08-2024,"? 1,000","? 1,500","? 1,400",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,12-08-2024,"? 1,000","? 1,400","? 1,350",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,17-08-2024,"? 1,200","? 1,500","? 1,450",313
Gujarat,Ahmedabad,Ahmedabad,Papaya (Raw),Other,FAQ,22-08-2024,"? 1,000","? 1,500","? 1,450",313
