clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.25,2024-02-17,12.5,46,368,261,121,935,873,33.7,7.2,119,3.2,18.9,0.0,0.0,1010,0.46,1014,243,25.3,119,6.0,2.6,Viramgam,23.1259455923199,72.0457121911553
0.12,2024-02-18,9.8,46,369,262,122,936,877,33.7,8.1,229,4.8,17.4,0.0,0.0,1008,0.41,1011,262,25.6,229,8.0,2.6,Viramgam,23.1259455923199,72.0457121911553
0.64,2024-02-19,10.8,46,370,264,122,937,881,33.3,6.2,247,5.2,20.0,0.0,0.0,1008,0.39,1011,189,26.5,247,10.0,3.7,Viramgam,23.1259455923199,72.0457121911553
0.33,2024-02-20,17.8,46,372,266,122,937,885,31.5,8.1,262,4.8,20.4,0.0,0.0,1009,0.66,1012,247,25.6,262,8.0,3.0,Viramgam,23.1259455923199,72.0457121911553
0.34,2024-02-21,16.3,46,373,267,122,938,889,29.6,7.7,276,4.8,21.9,0.0,0.0,1008,0.61,1012,249,25.3,276,9.2,3.8,Viramgam,23.1259455923199,72.0457121911553
0.06,2024-02-22,15.2,47,374,269,122,939,893,29.6,7.8,289,5.2,20.4,0.0,0.0,1009,0.59,1013,269,24.4,289,9.2,3.4,Viramgam,23.1259455923199,72.0457121911553
0.0,2024-02-23,3.7,47,376,271,122,940,897,30.4,8.4,265,3.6,16.7,0.0,0.0,1011,0.31,1014,271,22.6,265,7.2,2.8,Viramgam,23.1259455923199,72.0457121911553
0.0,2024-02-24,2.8,47,377,272,123,940,901,30.0,8.5,315,4.0,14.8,0.0,0.0,1011,0.31,1014,272,21.7,315,8.4,3.0,Viramgam,23.1259455923199,72.0457121911553
0.49,2024-02-25,4.4,47,378,274,123,941,905,30.4,8.4,31,4.0,13.7,0.0,0.0,1011,0.34,1014,243,22.1,31,8.0,2.8,Viramgam,23.1259455923199,72.0457121911553
0.9,2024-02-26,8.8,47,379,276,123,941,909,30.4,3.1,53,6.0,17.0,0.0,0.0,1009,0.4,1012,87,23.5,53,10.4,3.6,Viramgam,23.1259455923199,72.0457121911553
0.13,2024-02-27,12.1,47,381,277,123,942,913,31.5,8.3,165,3.6,18.9,0.0,0.0,1010,0.47,1013,277,24.6,165,6.0,2.7,Viramgam,23.1259455923199,72.0457121911553
0.04,2024-02-28,13.8,48,382,279,123,943,917,32.6,8.8,42,4.0,18.5,0.0,0.0,1010,0.51,1013,279,25.2,42,8.0,2.9,Viramgam,23.1259455923199,72.0457121911553
0.02,2024-02-29,12.9,48,383,281,123,943,921,35.9,8.7,87,3.6,18.9,0.0,0.0,1008,0.44,1012,281,26.9,87,7.2,2.5,Viramgam,23.1259455923199,72.0457121911553
