Feature,Skewness_Before,Kurtosis_Before,Abs_Skewness_Before,Abs_Kurtosis_Before,Skewness_After,Kurtosis_After,Abs_Skewness_After,Abs_Kurtosis_After,Skew_Improvement,Kurt_Improvement,Overall_Improvement
Days_Since_Last_Record,28.85133047332422,1018.0538393667816,28.85133047332422,1018.0538393667816,-0.16417211768669385,1.780904812738747,0.16417211768669385,1.780904812738747,28.68715835563753,1016.2729345540429,1044.9600929096805
Heatwave_Day,14.012907020547589,194.3615631665119,14.012907020547589,194.3615631665119,14.012907020547583,194.36156316651187,14.012907020547583,194.36156316651187,5.329070518200751e-15,2.842170943040401e-14,3.375077994860476e-14
precip,5.429642769404231,37.096246371528295,5.429642769404231,37.096246371528295,1.032378771451029,-0.7824850675147563,1.032378771451029,0.7824850675147563,4.397263997953202,36.31376130401354,40.71102530196674
Storm_Index,5.366298522718345,36.26036761151148,5.366298522718345,36.26036761151148,0.9645146319535154,-0.9562746290065722,0.9645146319535154,0.9562746290065722,4.401783890764829,35.304092982504905,39.70587687326973
Rainfall_Deficit_30d,-4.488569346809028,30.708818011667944,4.488569346809028,30.708818011667944,0.3864254070513335,5.786155821822108,0.3864254070513335,5.786155821822108,4.102143939757695,24.922662189845838,29.024806129603533
precip_Anomaly_30d,4.488569346809028,30.708818011667944,4.488569346809028,30.708818011667944,-0.38642540309922896,5.786155827175744,0.38642540309922896,5.786155827175744,4.102143943709799,24.9226621844922,29.024806128202
Heatwave_Count_30d,4.042308708734175,16.074861137727282,4.042308708734175,16.074861137727282,3.30611153028508,8.930373455365268,3.30611153028508,8.930373455365268,0.7361971784490948,7.144487682362014,7.880684860811108
Price_RollStd_7d,3.9475442036351267,36.41727467781664,3.9475442036351267,36.41727467781664,0.025445972014268844,0.2912655121971417,0.025445972014268844,0.2912655121971417,3.9220982316208577,36.1260091656195,40.04810739724036
Heavy_Rain_Day,3.833470678450158,12.695497442537112,3.833470678450158,12.695497442537112,3.833470678450158,12.695497442537112,3.833470678450158,12.695497442537112,0.0,0.0,0.0
Price_Drought_Interaction,3.5824245736729647,16.232375237460015,3.5824245736729647,16.232375237460015,-0.32534543726378845,-0.9945774716084075,0.32534543726378845,0.9945774716084075,3.2570791364091765,15.237797765851608,18.494876902260785
Price_RollStd_30d,3.497499704545771,24.976301246218753,3.497499704545771,24.976301246218753,-0.32260537691495617,-0.10070878515933446,0.32260537691495617,0.10070878515933446,3.174894327630815,24.87559246105942,28.050486788690236
Price_Range_RollMean_7d,3.399515602812529,18.883837488406453,3.399515602812529,18.883837488406453,-0.4131438614183044,77.67193531851531,0.4131438614183044,77.67193531851531,2.9863717413942243,-58.78809783010885,-55.80172608871463
precip_RollMean_7d,3.3247973042214363,11.850075268203152,3.3247973042214363,11.850075268203152,0.4813868286918509,-1.3200190640258984,0.4813868286918509,1.3200190640258984,2.8434104755295855,10.530056204177255,13.37346667970684
Price_Range,3.321768618437033,18.96772164658713,3.321768618437033,18.96772164658713,-0.012243622516145804,0.47194853442003337,0.012243622516145804,0.47194853442003337,3.3095249959208872,18.495773112167097,21.805298108087985
Price_Lag_30d,2.5477099987085947,11.77545046680841,2.5477099987085947,11.77545046680841,0.0106577669322093,-0.3618485641872602,0.0106577669322093,0.3618485641872602,2.5370522317763853,11.41360190262115,13.950654134397535
