Month,Commodity,mean,count
4,Bengal Gram(Gram)(Whole),6111.87,47
4,Bhindi(Ladies Finger),2714.38,65
4,Bitter gourd,3270.0,20
4,Black Gram (Urd Beans)(Whole),8131.73,33
4,Bottle gourd,2014.25,20
4,Brinjal,1539.86,37
4,Cabbage,1321.25,20
4,Capsicum,3747.5,20
4,Carrot,1531.25,20
4,Cauliflower,2067.5,20
4,Cluster beans,3550.0,2
4,Cotton,7423.33,12
4,Cowpea (Lobia/Karamani),3500.0,5
4,Cowpea(Veg),3425.0,2
4,Cucumbar(Kheera),1612.5,20
4,Drumstick,1890.0,20
4,Elephant Yam (Suran),6450.0,20
4,French Beans (Frasbean),4935.0,20
4,Ginger(Green),8028.75,20
4,Gram Raw(Chholia),6661.76,17
4,Green Chilli,4237.5,20
4,Green Gram (Moong)(Whole),8310.15,47
4,Groundnut,6697.87,53
4,Guar,4093.75,8
4,Indian Beans (Seam),3161.25,20
4,Jowar(Sorghum),2587.13,15
4,Lemon,5685.0,20
4,Little gourd (Kundru),4802.5,20
4,Maize,2072.73,37
4,Mango (Raw-Ripe),5672.5,20
4,Mustard,5637.0,1
4,Onion,1301.25,20
4,Paddy(Dhan)(Common),2085.85,52
4,Papaya (Raw),783.0,20
4,Peas cod,5750.0,2
4,Peas(Dry),4025.0,1
4,Pegeon Pea (Arhar Fali),5800.0,20
4,Pointed gourd (Parval),3625.25,40
4,Potato,1817.25,20
4,Pumpkin,1010.0,20
4,Ridgeguard(Tori),2840.0,20
4,"Sesamum(Sesame,Gingelly,Til)",12012.96,27
4,Soyabean,3750.0,2
4,Sponge gourd,1950.0,2
4,Surat Beans (Papadi),5132.5,20
4,Sweet Potato,2165.0,20
4,Tamarind Fruit,3000.5,4
4,Tomato,910.0,20
4,Turmeric (raw),11250.0,19
4,Wheat,2510.76,37
4,Yam (Ratalu),8894.74,19
5,Ajwan,7655.0,1
5,Arhar (Tur/Red Gram)(Whole),8333.65,43
5,Bajra(Pearl Millet/Cumbu),2135.0,4
5,Banana - Green,842.0,25
5,Beans,5791.67,6
5,Beetroot,1362.0,25
5,Bengal Gram(Gram)(Whole),6132.03,39
5,Bhindi(Ladies Finger),2695.34,88
5,Bitter gourd,2994.0,25
5,Black Gram (Urd Beans)(Whole),8493.41,54
5,Bottle gourd,2056.0,25
5,Brinjal,2038.33,45
5,Cabbage,1353.0,25
5,Capsicum,2722.0,25
5,Carrot,1837.0,25
5,Cauliflower,2444.0,25
5,Cluster beans,3432.0,25
5,Cotton,7300.65,23
5,Cowpea (Lobia/Karamani),3250.0,4
5,Cowpea(Veg),4939.0,25
5,Cucumbar(Kheera),1836.0,25
5,Drumstick,2463.0,25
5,Elephant Yam (Suran),7171.0,25
5,French Beans (Frasbean),8320.0,25
5,Ginger(Green),7992.0,25
5,Green Chilli,3800.0,25
5,Green Gram (Moong)(Whole),8266.49,79
5,Groundnut,6595.58,89
5,Guar,3606.25,20
5,Indian Beans (Seam),4324.0,25
5,Jowar(Sorghum),2426.31,42
5,Lemon,4930.0,25
5,Lentil (Masur)(Whole),8697.83,6
5,Little gourd (Kundru),4176.0,25
5,Maize,2080.65,68
5,Mango,3409.09,11
5,Mango (Raw-Ripe),5982.0,25
5,Onion,1581.0,25
5,Paddy(Dhan)(Common),2156.37,75
5,Papaya (Raw),754.17,24
5,Peas cod,6885.0,25
5,Peas(Dry),4375.0,2
5,Pegeon Pea (Arhar Fali),7650.0,25
5,Pointed gourd (Parval),3105.2,50
5,Potato,1902.8,25
5,Pumpkin,892.0,25
5,Ridgeguard(Tori),3993.0,25
5,"Sesamum(Sesame,Gingelly,Til)",12798.2,70
5,Soyabean,3500.0,1
5,Sponge gourd,2023.0,25
5,Sunflower,3800.0,1
5,Surat Beans (Papadi),7100.0,25
5,Sweet Potato,2670.83,24
5,Tamarind Fruit,2500.0,1
5,Tomato,979.17,24
5,Turmeric (raw),12836.96,23
5,Wheat,2555.07,29
5,Yam (Ratalu),8375.0,24
6,Arhar (Tur/Red Gram)(Whole),8365.13,38
6,Bajra(Pearl Millet/Cumbu),2276.25,4
6,Banana - Green,960.0,20
6,Beans,4550.0,5
6,Beetroot,1655.0,20
6,Bengal Gram(Gram)(Whole),6199.21,29
6,Bhindi(Ladies Finger),3657.27,75
6,Bitter gourd,4230.0,20
6,Black Gram (Urd Beans)(Whole),8400.76,51
6,Bottle gourd,2862.5,20
6,Brinjal,3814.1,39
6,Cabbage,1472.5,20
6,Capsicum,3952.5,20
6,Carrot,1855.0,20
6,Cauliflower,2830.0,20
6,Cluster beans,5505.0,20
6,Cotton,7277.11,19
6,Cowpea (Lobia/Karamani),3604.17,12
6,Cowpea(Veg),8275.0,20
6,Cucumbar(Kheera),2170.0,20
6,Drumstick,4392.5,20
6,Elephant Yam (Suran),6887.5,20
6,French Beans (Frasbean),9416.67,18
6,Ginger(Green),7895.0,20
6,Green Chilli,5393.75,20
6,Green Gram (Moong)(Whole),7110.4,63
6,Groundnut,6273.52,60
6,Groundnut pods (raw),4531.25,16
6,Guar,6659.09,11
6,Indian Beans (Seam),6775.0,20
6,Jowar(Sorghum),2268.12,32
6,Kartali (Kantola),13333.33,15
6,Lemon,3825.0,20
6,Little gourd (Kundru),4820.0,20
6,Maize,2170.0,16
6,Mango,3802.78,90
6,Mango (Raw-Ripe),5562.5,20
6,Onion,2133.75,20
6,Paddy(Dhan)(Common),2172.78,102
6,Papaya (Raw),1058.75,20
6,Peas cod,10250.0,20
6,Pegeon Pea (Arhar Fali),8530.0,20
6,Pointed gourd (Parval),3434.55,44
6,Potato,2085.53,19
6,Pumpkin,1107.89,19
6,Ridgeguard(Tori),4615.0,20
6,"Sesamum(Sesame,Gingelly,Til)",11750.55,58
6,Soyabean,3450.0,5
6,Sponge gourd,2880.0,20
6,Surat Beans (Papadi),10075.0,20
6,Sweet Potato,3212.5,20
6,Tomato,3302.5,20
6,Turmeric (raw),13425.0,20
6,Wheat,2637.5,2
6,Yam (Ratalu),7037.5,20
7,Arhar (Tur/Red Gram)(Whole),8700.0,10
7,Bajra(Pearl Millet/Cumbu),2495.0,3
7,Banana - Green,1150.0,24
7,Beetroot,1584.38,24
7,Bengal Gram(Gram)(Whole),5732.35,17
7,Bhindi(Ladies Finger),3457.19,73
7,Bitter gourd,4000.0,24
7,Black Gram (Urd Beans)(Whole),8033.82,17
7,Bottle gourd,3143.75,24
7,Brinjal,3364.29,49
7,Cabbage,2098.96,24
7,Capsicum,3613.04,23
7,Carrot,1610.42,24
7,Cauliflower,2616.67,24
7,Cluster beans,5387.5,24
7,Cotton,7652.44,18
7,Cowpea (Lobia/Karamani),2500.0,2
