,clouds,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_uv,max_wind_dir,max_wind_spd,min_temp,precip,precip_gpm,pres,rh,slp,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
clouds,1.0,0.654813334598628,0.4206924052179168,0.41120906968629073,0.44249518625902007,0.3095358933076268,0.06767594435973746,0.4150430159274196,-0.4023330656070391,-0.7188225269064056,0.29283844295793166,0.3941945806279151,0.4097677221298562,0.5396273121737089,0.5396273121737089,-0.6563359716549196,0.7531962267871763,-0.6472323477740249,-0.7776136834083252,0.42081714755730004,0.41118051907618564,0.44260661279279073,-0.777404002427155,0.022122124710763514,0.2209908330344148,0.29283844295793166,0.3716812396309611,0.4203290663503226
dewpt,0.654813334598628,1.0,0.6051445563232364,0.6073139415706996,0.6340338121035703,0.4905017869016277,0.1916850266325705,0.6056771672509217,0.01810543056464221,-0.2605786765301565,0.37733284260047767,0.35458277505992053,0.8028822532719266,0.39362471398528665,0.39362471398528665,-0.7743928330745123,0.8229473213007136,-0.7777221932797055,-0.3109815488470754,0.6103664755154661,0.607157369735262,0.6340904758215745,-0.3107345999513601,0.47763373262694303,0.2924977041667086,0.37733284260047767,0.3106759933068064,0.389102945533584
dhi,0.4206924052179168,0.6051445563232364,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.419242966492344,0.2080237981781896,0.6851529176081363,0.5095932764177936,0.8344740069128339,0.2609460891583435,0.2609460891583435,-0.8088612558652849,0.24564107586095124,-0.8151139496869462,0.05254871634515827,0.9982799913771613,0.9969288111959489,0.9966332866896158,0.05272191470213662,0.7497841982068824,-0.20246760440284292,0.6851529176081363,0.4775531602113347,0.4631436368235429
dni,0.41120906968629073,0.6073139415706996,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.43547624150858694,0.2165002632783173,0.6775985510380491,0.5170914291585516,0.8419939008181716,0.2500171900642798,0.2500171900642798,-0.8127265668778582,0.23588514732444382,-0.8189533721018248,0.06580544273877129,0.9990721354226791,0.9999650083425196,0.9949447618312344,0.06600559021403724,0.7622207201175725,-0.19242707775103615,0.6775985510380491,0.4831593098393763,0.47026917663211865
ghi,0.44249518625902007,0.6340338121035703,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.40995234938101976,0.18865262849573003,0.6935810524816688,0.49417615143900406,0.8472602609213327,0.27212540669933577,0.27212540669933577,-0.8149361891898179,0.27695297373852173,-0.8214867797353252,0.03768155799957982,0.9977004081632034,0.9949084179756869,0.9999868677074356,0.03786505631126703,0.7514850909938341,-0.1810629949108959,0.6935810524816688,0.4615531715023679,0.44745856741646767
max_dhi,0.3095358933076268,0.4905017869016277,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.4939454854970913,0.30075769943880193,0.7016177030896766,0.3155250112893254,0.7533169617921793,0.20191924490081928,0.20191924490081928,-0.6411320827532221,0.12818454453384406,-0.6500635947731683,0.15021608815541054,0.9292108700478122,0.9197043249711009,0.9406688044798711,0.1503378876876022,0.7480774413442823,-0.2977643674820135,0.7016177030896766,0.30031121612155964,0.24725448238701414
max_dni,0.06767594435973746,0.1916850266325705,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.5422073296237766,0.4293888232366033,0.612615007108268,0.05550637940335682,0.49581844037273654,0.0599138203089774,0.0599138203089774,-0.3009700369011975,-0.12797513090012352,-0.3114502249919026,0.2991353796126016,0.70501408605018,0.6899843401817677,0.7213150072608958,0.29917371961753975,0.6245486201142971,-0.4478622358772024,0.612615007108268,0.06154354891687439,-0.036449755827023186
max_ghi,0.4150430159274196,0.6056771672509217,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.4329863410573986,0.2163058422759699,0.7048088216964993,0.4254981624565658,0.828682323802524,0.26135839131023675,0.26135839131023675,-0.7652548789232169,0.2482775846124862,-0.7727327941469282,0.06353480340272673,0.9816530382053291,0.974989568144904,0.989924456622275,0.06369946617079705,0.7555666925924712,-0.1969713446746433,0.7048088216964993,0.4004964509325345,0.37195012710581515
max_temp,-0.4023330656070391,0.01810543056464221,0.419242966492344,0.43547624150858694,0.40995234938101976,0.4939454854970913,0.5422073296237766,0.4329863410573986,1.0,0.7233138994106569,0.2577582787639493,-0.12531133066517836,0.4930017603172713,-0.34642371859813165,-0.34642371859813165,-0.09316776644658141,-0.5301366053673857,-0.10369835917307296,0.7179128255143993,0.4242689669001217,0.43522509234391865,0.40996935778381766,0.7181108433060711,0.8504221202452913,-0.2388777869849373,0.2577582787639493,-0.1208980407627086,-0.21507663424972892
max_uv,-0.7188225269064056,-0.2605786765301565,0.2080237981781896,0.2165002632783173,0.18865262849573003,0.30075769943880193,0.4293888232366033,0.2163058422759699,0.7233138994106569,1.0,0.1735293886466123,-0.09687794379002711,0.14745282838985793,-0.4326604734125754,-0.4326604734125754,0.17962463657773772,-0.6210444515114292,0.16566484155631694,0.9231295488994502,0.20879639816052217,0.21644690845954082,0.18874350135786266,0.9230776380990502,0.497134520564588,-0.35741588565074517,0.1735293886466123,-0.09182280820586133,-0.16871460171269098
